"subservice","service"
"Business start-up and company formation","Formation / M&A"
"Information Technology","Bookkeeping & Admin"
"Limited company accounts","Annual Accounts"
"Partnership / sole trader accounts","Annual Accounts"
"Business plans","Business Consulting & Support"
"Management advice to business","Business Consulting & Support"
"Tax(CGT, Corporate, IHT, Personal and VAT)","Tax Services"
"Company secretarial service","Bookkeeping & Admin"
"Corporate finance","Financing Support"
"Management accounting consultancy","Business Consulting & Support"
"Management consultancy","Business Consulting & Support"
"Share valuations","Financing Support"
"Tax and NI investigations","Tax Services"
"Benchmarking","Business Consulting & Support"
"Business process improvements","Business Consulting & Support"
"Corporate recovery","Insolvency and Arbitration"
"Cost systems and control","Bookkeeping & Admin"
"Data processing services","Bookkeeping & Admin"
"Debt counselling","Financing Support"
"Estate planning and executorship","Other"
"Expert witness","Other"
"Feasibility studies","Other"
"Internal audit and systems security","Audit Services"
"Trusteeship / Trust Administration","Other"
"Bank loans and overdrafts (inc SFLGS)","Financing Support"
"Business risk assessment","Business Consulting & Support"
"Business plans (external and internal)","Business Consulting & Support"
"Small scale equity issues","Financing Support"
"Start-up Finance(inc using own funds)","Financing Support"
"Divorce matrimonial","Insolvency and Arbitration"
"Export finance planning and tax","Tax Services"
"Grants and Finance (EU,government)","Financing Support"
"Treasury","Other"
"Establishing a business overseas","Formation / M&A"
"Arbitration","Insolvency and Arbitration"
"Environmental auditing","Audit Services"
"Leasing and hire purchase","Other"
"Asset Finance","Financing Support"
"Annual Accounts","Annual Accounts"
"Audit Services","Audit Services"
"Business Advice","Business Consulting & Support"
"Tax Services","Tax Services"
"M&A/Transaction","Formation / M&A"
"Bookkeeping","Bookkeeping & Admin"
"Other","Other"
